5,UF,Nome_UF,Região Geográfica Intermediária,Nome Região Geográfica Intermediária,Região Geográfica Imediata,Nome Região Geográfica Imediata,Mesorregião Geográfica,Nome_Mesorregião,Microrregião Geográfica,Nome_Microrregião,Município,Código Município Completo,Nome_Município
897,23,Ceará,2304,Juazeiro do Norte,230012,Brejo Santo,07,Sul Cearense,033,Brejo Santo,00101,2300101,Abaiara
898,23,Ceará,2301,Fortaleza,230003,Redenção-Acarape,02,Norte Cearense,013,Baturité,00150,2300150,Acarape
899,23,Ceará,2306,Sobral,230017,Acaraú,01,Noroeste Cearense,001,Litoral de Camocim e Acaraú,00200,2300200,Acaraú
900,23,Ceará,2303,Iguatu,230009,Iguatu,04,Sertões Cearenses,021,Sertão de Senador Pompeu,00309,2300309,Acopiara
901,23,Ceará,2304,Juazeiro do Norte,230011,Juazeiro do Norte,04,Sertões Cearenses,020,Sertão de Inhamuns,00408,2300408,Aiuaba
902,23,Ceará,2306,Sobral,230015,Sobral,01,Noroeste Cearense,004,Meruoca,00507,2300507,Alcântaras
903,23,Ceará,2304,Juazeiro do Norte,230011,Juazeiro do Norte,07,Sul Cearense,030,Caririaçu,00606,2300606,Altaneira
904,23,Ceará,2302,Quixadá,230007,Russas - Limoeiro do Norte,05,Jaguaribe,023,Baixo Jaguaribe,00705,2300705,Alto Santo
905,23,Ceará,2301,Fortaleza,230002,Itapipoca,02,Norte Cearense,008,Itapipoca,00754,2300754,Amontada
906,23,Ceará,2304,Juazeiro do Norte,230011,Juazeiro do Norte,06,Centro-Sul Cearense,027,Várzea Alegre,00804,2300804,Antonina do Norte
907,23,Ceará,2301,Fortaleza,230005,Itapagé,02,Norte Cearense,011,Médio Curu,00903,2300903,Apuiarés
908,23,Ceará,2301,Fortaleza,230001,Fortaleza,03,Metropolitana de Fortaleza,016,Fortaleza,01000,2301000,Aquiraz
909,23,Ceará,2302,Quixadá,230008,Aracati,05,Jaguaribe,022,Litoral de Aracati,01109,2301109,Aracati
910,23,Ceará,2301,Fortaleza,230003,Redenção-Acarape,02,Norte Cearense,013,Baturité,01208,2301208,Aracoiaba
911,23,Ceará,2305,Crateús,230013,Crateús,04,Sertões Cearenses,018,Sertão de Cratéus,01257,2301257,Ararendá
